"","year","length","rating","genre"
"203",1948,82,7.6,"Misc"
"204",1967,6,5.5,"Short"
"205",1995,86,6.7,"Drama"
"206",1998,1,5.1,"Documentary"
"207",1998,107,4.1,"Drama"
"208",1989,75,4.4,"Misc"
"209",2001,95,5.7,"Drama"
"210",1972,180,7.3,"Drama"
"211",1974,150,5.2,"Misc"
"212",2004,23,7.6,"Short"
"213",1988,93,4.8,"Comedy"
"214",1999,87,4.5,"Drama"
"215",1977,89,2,"Action"
"216",1991,98,5.9,"Drama"
"217",2004,100,8.5,"Drama"
"218",1934,80,7,"Drama"
"219",1990,100,4.2,"Drama"
"220",1997,58,3,"Drama"
"221",1995,30,7.8,"Animation"
"222",2000,82,7,"Drama"
"223",2002,77,5.3,"Comedy"
"224",1971,73,5.4,"Misc"
"225",1976,245,7.5,"Drama"
"226",1985,94,5.8,"Drama"
"227",1985,99,5,"Drama"
"228",1997,8,6.2,"Short"
"229",1925,32,8.2,"Documentary"
"230",1989,193,5.7,"Drama"
"231",1941,7,7.9,"Short"
"232",1979,146,5.6,"Comedy"
"233",1993,157,6.5,"Action"
"234",1989,80,7.3,"Drama"
"235",1955,18,4.6,"Documentary"
"236",1980,96,5.9,"Action"
"237",1988,95,5.3,"Drama"
"238",2000,8,4.4,"Animation"
"239",1974,90,7.6,"Documentary"
"240",1956,90,6.9,"Drama"
"241",1982,89,3.9,"Action"
"242",1992,99,6.9,"Documentary"
"243",1998,80,7.9,"Misc"
"244",1998,92,5.3,"Drama"
"245",1988,90,6.5,"Drama"
"246",1999,86,5.6,"Comedy"
"247",1905,1,5.2,"Comedy"
"248",2002,76,1.5,"Drama"
"249",1996,104,6.4,"Drama"
"250",1997,90,6.5,"Drama"
"251",2003,107,5.1,"Action"
"252",2000,97,4.4,"Action"
"253",1999,87,6.5,"Comedy"
"254",1966,90,8.2,"Misc"
"255",1968,95,6.9,"Comedy"
"256",2001,8,6.9,"Short"
"257",1997,12,7.2,"Documentary"
"258",1967,90,6.7,"Drama"
"259",2003,96,5.5,"Comedy"
"260",1998,100,6.8,"Comedy"
"261",2004,28,8.2,"Comedy"
"262",1965,89,3.3,"Misc"
"263",1944,97,5.9,"Misc"
"264",2000,25,5.5,"Short"
"265",1998,87,5.4,"Comedy"
"266",2004,74,6.7,"Drama"
"267",1957,82,6.2,"Misc"
"268",1940,84,7.1,"Misc"
"269",1933,20,6.5,"Comedy"
"270",1916,105,6.2,"Action"
"271",1932,78,7,"Drama"
"272",1997,93,3.7,"Misc"
"273",1955,97,8.6,"Misc"
"274",1999,20,1,"Comedy"
"275",2003,84,5.4,"Romance"
"276",1999,101,5.4,"Comedy"
"277",1971,98,5.2,"Comedy"
"278",2000,70,7.9,"Documentary"
"279",1969,80,4.4,"Comedy"
"280",1954,127,7.1,"Drama"
"281",1999,99,3.1,"Action"
"282",1968,156,8.3,"Misc"
"283",2000,99,2.5,"Comedy"
"284",1994,90,4,"Action"
"285",2002,136,6.6,"Action"
"286",1964,96,7.1,"Misc"
"287",1984,116,6.5,"Misc"
"288",1984,18,5.8,"Documentary"
"289",1983,91,5.3,"Action"
"290",1980,185,6.8,"Drama"
"291",2004,129,7.6,"Drama"
"292",1969,75,5.3,"Misc"
"293",1984,10,6.4,"Documentary"
"294",2004,113,7.1,"Comedy"
"295",2003,101,6.3,"Drama"
"296",2000,105,6,"Comedy"
"297",2003,124,8,"Drama"
"298",1964,10,6.1,"Short"
"299",1997,100,3.8,"Misc"
"300",1996,285,7.6,"Documentary"
"301",1979,121,6,"Drama"
"302",1998,100,7.2,"Drama"
"303",1930,10,4.8,"Comedy"
"304",1956,103,7,"Misc"
"305",2000,12,4.3,"Short"
"306",1993,84,7,"Misc"
"307",2002,188,6.3,"Misc"
"308",2002,91,7.4,"Drama"
"309",1997,96,6.7,"Comedy"
"310",2002,117,7.2,"Comedy"
"311",1999,93,5.6,"Comedy"
"312",1931,66,7,"Misc"
"313",2000,90,3.8,"Misc"
"314",1999,97,6.3,"Comedy"
"315",2000,86,6,"Drama"
"316",2002,107,5.6,"Drama"
"317",1977,114,7.6,"Misc"
"318",1969,95,8.1,"Comedy"
"319",1999,8,5.9,"Comedy"
"320",2001,11,4.8,"Short"
"321",2000,6,4.8,"Short"
"322",2004,92,6.4,"Misc"
"323",2002,90,6.2,"Misc"
"324",2001,92,7,"Comedy"
"325",1989,5,7.2,"Animation"
"326",2002,135,7.8,"Drama"
"327",1996,17,4.7,"Short"
"328",1974,118,8.9,"Misc"
"329",2000,98,6.6,"Comedy"
"330",1986,81,5.2,"Misc"
"331",1974,86,5,"Drama"
"332",1957,75,5.9,"Misc"
"333",2000,103,6,"Drama"
"334",2002,113,7.3,"Misc"
"335",1967,90,3.9,"Misc"
"336",1971,90,6.2,"Drama"
"337",2002,93,4.7,"Comedy"
"338",1991,101,6.9,"Comedy"
"339",2004,88,7.3,"Comedy"
"340",2002,70,7.3,"Misc"
"341",1998,90,6.4,"Drama"
"342",2002,104,9.4,"Misc"
"343",1971,86,6,"Drama"
"344",1976,72,6.9,"Misc"
"345",2001,88,5.9,"Misc"
"346",2003,22,4.8,"Short"
"347",1926,122,5.6,"Misc"
"348",2000,88,6.5,"Comedy"
"349",2002,98,5.8,"Drama"
"350",1937,17,7.1,"Comedy"
"351",2003,63,7,"Documentary"
"352",1948,106,6.9,"Drama"
"353",1990,100,2.2,"Misc"
"354",1990,104,4.5,"Comedy"
"355",2000,3,4.3,"Short"
"356",1998,11,7.2,"Animation"
"357",1992,98,4,"Action"
"358",1994,93,3.5,"Action"
"359",1995,85,2.9,"Action"
"360",1998,93,2.2,"Action"
"361",1964,78,5.2,"Comedy"
"362",1954,103,5.6,"Comedy"
"363",1968,6,6.3,"Animation"
"364",2000,82,3.7,"Comedy"
"365",2000,21,5,"Short"
"366",2002,51,7,"Misc"
"367",1977,124,7.7,"Drama"
"368",1960,100,6,"Animation"
"369",1973,81,5.2,"Action"
"370",1985,106,6.6,"Comedy"
"371",2001,105,6.4,"Misc"
"372",1990,96,6.6,"Action"
"373",2004,88,4.6,"Drama"
"374",1999,87,4.2,"Comedy"
"375",1959,75,4.6,"Comedy"
"376",2000,73,5.4,"Documentary"
"377",1968,85,4.8,"Comedy"
"378",1965,95,3.4,"Misc"
"379",1963,85,6.7,"Comedy"
"380",2001,110,5.1,"Comedy"
"381",2000,105,5.8,"Misc"
"382",1977,68,2.5,"Comedy"
"383",1998,91,7.1,"Comedy"
"384",1962,114,6.4,"Drama"
"385",2001,125,5.4,"Action"
"386",1995,100,6.8,"Misc"
"387",1995,116,3.9,"Drama"
"388",2003,27,2.8,"Short"
"389",1965,86,8,"Misc"
"390",1969,95,6,"Drama"
"391",1981,83,7.3,"Action"
"392",1995,27,6.6,"Comedy"
"393",1997,99,6.6,"Drama"
"394",1981,122,7.7,"Misc"
"395",1980,92,5.1,"Misc"
"396",1953,80,5.7,"Drama"
"397",1965,115,7.3,"Misc"
"398",1988,88,6,"Drama"
"399",1969,93,3.7,"Action"
"400",1934,77,5.8,"Comedy"
"401",2000,83,7.8,"Misc"
"402",2005,101,5.6,"Comedy"
"403",2005,70,7.6,"Documentary"
"404",1935,86,8,"Drama"
"405",1959,93,6.6,"Drama"
"406",1957,92,7.7,"Misc"
"407",1986,86,4.5,"Action"
"408",2005,21,8.8,"Short"
"409",2000,24,6,"Short"
"410",2003,5,5,"Drama"
"411",1931,112,6.9,"Misc"
"412",1960,79,7.3,"Drama"
"413",2004,126,6.3,"Drama"
"414",1964,16,6.9,"Documentary"
"415",1970,97,7.9,"Comedy"
"416",1928,97,8.7,"Drama"
"417",2003,76,5.1,"Misc"
"418",2003,123,5.7,"Drama"
"419",1997,102,7.5,"Documentary"
"420",2000,15,5.5,"Drama"
"421",1998,26,6.1,"Drama"
"422",1999,15,6,"Short"
"423",1987,99,7.6,"Comedy"
"424",1963,124,5.3,"Comedy"
"425",1995,8,8.2,"Animation"
"426",1974,90,3.7,"Comedy"
"427",1971,104,6.3,"Misc"
"428",1999,97,6.5,"Comedy"
"429",1965,105,5.6,"Drama"
"430",2002,12,5.7,"Short"
"431",1973,110,6,"Comedy"
"432",2002,96,5.4,"Comedy"
"433",1982,143,7.5,"Drama"
"434",1967,95,5.8,"Romance"
"435",1962,106,6.3,"Comedy"
"436",1986,80,7.3,"Drama"
"437",1976,100,4.7,"Comedy"
"438",1967,90,5.5,"Comedy"
"439",1941,100,6.9,"Misc"
"440",1939,52,5,"Documentary"
"441",2000,11,6.9,"Action"
"442",2004,116,8.3,"Comedy"
"443",2000,90,5.1,"Action"
"444",1933,89,7.5,"Drama"
"445",1933,6,6.2,"Documentary"
"446",1974,83,6.4,"Drama"
"447",1950,95,7.6,"Comedy"
"448",1982,96,6.8,"Action"
"449",1967,81,4.3,"Misc"
"450",1964,88,6.2,"Drama"
"451",1953,73,6.2,"Drama"
"452",1941,104,7.7,"Drama"
"453",1959,85,5.2,"Action"
"454",1999,90,5.7,"Misc"
"455",2002,97,4.2,"Comedy"
"456",1955,84,6.2,"Drama"
"457",1960,118,5.2,"Drama"
"458",1968,105,6.2,"Misc"
"459",2002,96,8.3,"Romance"
"460",1996,94,7.3,"Action"
"461",1996,96,2,"Misc"
"462",1952,108,7.6,"Drama"
"463",1938,85,6.5,"Comedy"
"464",1957,81,5.6,"Drama"
"465",1970,90,5.5,"Misc"
"466",1968,85,4.3,"Comedy"
"467",1974,95,3.7,"Misc"
"468",1970,90,5.4,"Misc"
"469",1969,81,4.6,"Misc"
"470",1965,85,4.8,"Misc"
"471",1953,89,6.7,"Misc"
"472",2004,99,6.8,"Comedy"
"473",2004,95,6.8,"Comedy"
"474",1963,75,3.4,"Comedy"
"475",1982,87,4,"Drama"
"476",2005,106,9.3,"Documentary"
"477",2001,92,6.4,"Comedy"
"478",2000,41,5.9,"Action"
"479",1985,95,8.7,"Drama"
"480",2001,92,6.1,"Action"
"481",1986,110,5.9,"Action"
"482",1937,80,7,"Drama"
"483",1998,100,5.4,"Drama"
"484",1963,150,6.6,"Drama"
"485",1993,130,7.9,"Misc"
"486",1939,83,6.6,"Comedy"
"487",2005,75,5.2,"Drama"
"488",2004,90,6.6,"Drama"
"489",1934,69,6.7,"Comedy"
"490",1999,22,7.9,"Short"
"491",2004,85,4.3,"Drama"
"492",2001,100,5.1,"Misc"
"493",1958,85,4,"Misc"
"494",1939,62,6.5,"Misc"
"495",1964,103,6.2,"Drama"
"496",1981,11,6.7,"Animation"
"497",1936,89,5.3,"Comedy"
"498",1982,43,5.3,"Documentary"
"499",1996,100,5.3,"Action"
"500",2001,90,7.1,"Comedy"
"501",1968,5,5.1,"Short"
"502",1969,98,5.8,"Drama"
"503",1985,90,6.1,"Misc"
"504",1999,11,5.5,"Comedy"
"505",2000,123,5.9,"Action"
"506",2002,94,7.9,"Documentary"
"507",1964,100,6.9,"Misc"
"508",1989,90,4.8,"Action"
"509",1983,85,3.1,"Action"
"510",1941,4,6,"Animation"
"511",1966,87,6.2,"Drama"
"512",2003,90,6,"Drama"
"513",2004,95,5,"Comedy"
"514",2003,97,6.3,"Comedy"
"515",1971,98,3.4,"Comedy"
"516",1994,90,5.4,"Action"
"517",2002,110,4.8,"Action"
"518",1985,96,4.7,"Drama"
"519",1994,95,6.6,"Drama"
"520",1950,102,7,"Drama"
"521",1972,93,3.3,"Action"
"522",2003,15,7,"Short"
"523",2004,100,6,"Action"
"524",2000,17,3.9,"Short"
"525",2000,85,6.6,"Comedy"
"526",1985,4,7.9,"Animation"
"527",1969,25,6.2,"Documentary"
"528",1956,75,6.3,"Misc"
"529",1964,123,5.3,"Drama"
"530",2003,72,7,"Documentary"
"531",1958,88,6.9,"Action"
"532",1950,7,7.4,"Animation"
"533",1997,94,4.8,"Comedy"
"534",2002,110,6.8,"Drama"
"535",1986,115,4.9,"Action"
"536",1994,105,5.9,"Drama"
"537",2002,111,7.1,"Comedy"
"538",1981,77,5.8,"Comedy"
"539",1993,84,6.9,"Misc"
"540",1969,107,5.1,"Drama"
"541",2003,9,8.3,"Comedy"
"542",1963,113,5.5,"Drama"
"543",1979,82,5.1,"Misc"
"544",1994,110,4.7,"Misc"
"545",2002,124,6.5,"Comedy"
"546",1987,100,7.3,"Drama"
"547",1989,95,6.9,"Misc"
"548",2003,119,4.1,"Misc"
"549",1994,12,7.8,"Documentary"
"550",1999,123,5.9,"Misc"
"551",1997,7,3.7,"Short"
"552",2002,100,6.2,"Romance"
"553",2004,71,5.2,"Drama"
"554",2003,120,7.5,"Drama"
"555",1961,120,7.8,"Drama"
"556",1977,101,6.7,"Drama"
"557",1964,3,8.2,"Short"
"558",2005,14,9.1,"Short"
"559",1956,6,7.1,"Animation"
"560",1985,100,5.8,"Misc"
"561",2001,75,7.4,"Documentary"
"562",2001,72,5.1,"Documentary"
"563",1990,29,7.1,"Documentary"
"564",1959,90,4.5,"Comedy"
"565",1951,88,3.6,"Comedy"
"566",1977,101,2.3,"Comedy"
"567",1992,100,5.9,"Action"
"568",1975,93,5.9,"Comedy"
"569",1998,90,6.3,"Action"
"570",1991,93,5.7,"Misc"
"571",1997,90,4.7,"Comedy"
"572",1989,100,3.6,"Misc"
"573",1991,93,2.9,"Misc"
"574",1997,42,1.8,"Comedy"
"575",2002,79,6.1,"Drama"
"576",1953,83,7,"Drama"
"577",1998,13,4,"Drama"
"578",1969,108,5.6,"Action"
"579",1997,106,6.3,"Misc"
"580",1967,104,7.1,"Comedy"
"581",2002,103,5.8,"Misc"
"582",2004,13,7.1,"Short"
"583",2000,10,6.7,"Comedy"
"584",1998,136,5.1,"Documentary"
"585",2002,60,2.3,"Documentary"
"586",1996,17,5.6,"Drama"
"587",2004,104,5.2,"Comedy"
"588",1965,84,6.1,"Action"
"589",1991,144,6.2,"Drama"
"590",1980,90,7,"Misc"
"591",1991,94,7.5,"Drama"
"592",1932,8,6.3,"Animation"
"593",1953,14,6.1,"Drama"
"594",1989,161,3.9,"Comedy"
"595",1961,104,5.9,"Comedy"
"596",2002,98,5.3,"Comedy"
"597",1967,99,6.4,"Drama"
"598",1997,92,4.7,"Misc"
"599",1969,88,4.9,"Misc"
"600",1961,102,7.3,"Drama"
"601",1986,115,6.6,"Documentary"
"602",2000,87,5.6,"Comedy"
"603",1999,90,5.9,"Drama"
"604",1980,90,5.3,"Comedy"
"605",1998,98,7.3,"Drama"
"606",1975,100,5.6,"Comedy"
"607",2002,96,6.3,"Comedy"
"608",2000,89,3.6,"Comedy"
"609",1988,93,7.4,"Drama"
"610",1996,94,3.5,"Comedy"
"611",1997,95,2.7,"Comedy"
"612",1963,86,5.8,"Misc"
"613",1996,87,6.7,"Misc"
"614",1984,102,4.5,"Comedy"
"615",1977,104,6.7,"Drama"
"616",1972,188,8.6,"Action"
"617",2002,90,6.3,"Romance"
"618",1997,90,6.3,"Drama"
"619",1939,17,8,"Comedy"
"620",1942,68,5.6,"Comedy"
"621",1966,6,6,"Animation"
"622",1938,8,5.6,"Animation"
"623",1948,7,7.9,"Animation"
"624",1966,6,5,"Animation"
"625",1990,114,6.3,"Misc"
"626",2003,115,3.8,"Comedy"
"627",1966,82,1.2,"Action"
"628",1988,98,5.9,"Comedy"
"629",1985,71,7.7,"Documentary"
"630",2002,90,5.5,"Comedy"
"631",1995,65,8.2,"Documentary"
"632",2003,13,5.9,"Short"
"633",1994,98,4.3,"Misc"
"634",1988,80,6.1,"Misc"
"635",1918,5,5.3,"Animation"
"636",1970,85,5.7,"Documentary"
"637",2004,86,6,"Comedy"
"638",2001,131,8.8,"Misc"
"639",1977,96,6.1,"Documentary"
"640",2001,83,6.5,"Documentary"
"641",1978,85,3.7,"Comedy"
"642",2001,5,3.3,"Animation"
"643",1975,20,6.6,"Documentary"
"644",1999,105,5.4,"Drama"
"645",1980,95,8.5,"Misc"
"646",1998,60,4,"Documentary"
"647",2002,123,6,"Drama"
"648",2004,102,5.4,"Action"
"649",1999,178,5.5,"Drama"
"650",1973,148,8.1,"Romance"
"651",1993,155,8.4,"Comedy"
"652",1989,75,5.4,"Misc"
"653",1968,175,8.2,"Romance"
"654",1948,138,6.5,"Romance"
"655",1953,150,6.7,"Drama"
"656",1986,164,8.2,"Action"
"657",1980,144,7.9,"Misc"
"658",2004,92,6.8,"Comedy"
"659",2001,150,5.2,"Comedy"
"660",1952,101,7.1,"Romance"
"661",2004,149,4.8,"Action"
"662",1975,133,7,"Drama"
"663",1993,170,5.4,"Comedy"
"664",2002,165,6.8,"Comedy"
"665",1986,144,7.3,"Drama"
"666",1999,26,6.2,"Drama"
"667",1974,153,6.6,"Drama"
"668",1992,173,9.2,"Drama"
"669",1994,55,5,"Drama"
"670",1954,146,7.2,"Romance"
"671",1984,74,2.2,"Drama"
"672",1999,96,5.6,"Drama"
"673",1975,99,5.7,"Drama"
"674",1952,95,5.3,"Misc"
"675",2001,160,3.7,"Action"
"676",1990,152,5.6,"Drama"
"677",1968,146,8.6,"Drama"
"678",1994,155,8.6,"Action"
"679",1999,93,7.1,"Action"
"680",2001,95,5.9,"Action"
"681",1997,81,7.1,"Action"
"682",2000,82,4.4,"Misc"
"683",2001,90,7.9,"Comedy"
"684",1976,82,4.6,"Misc"
"685",1994,128,2.7,"Misc"
"686",1995,115,5.6,"Misc"
"687",2003,90,6.2,"Comedy"
"688",2002,99,4.7,"Drama"
"689",1945,103,6.2,"Drama"
"690",1949,78,6.3,"Misc"
"691",2003,123,5.5,"Drama"
"692",1965,92,5.5,"Drama"
"693",1988,95,5.5,"Comedy"
"694",1989,85,2.2,"Comedy"
"695",1991,88,2.1,"Drama"
"696",1946,90,7,"Drama"
"697",1998,80,3.9,"Comedy"
"698",1953,81,5.2,"Comedy"
"699",1952,75,5.3,"Comedy"
"700",1953,80,6,"Comedy"
"701",1951,86,6.2,"Comedy"
"702",1955,85,5.7,"Comedy"
"703",1949,88,6,"Comedy"
"704",1955,83,5.7,"Comedy"
"705",1945,85,5.7,"Comedy"
"706",1950,85,5.7,"Comedy"
"707",1991,96,5,"Comedy"
"708",1993,105,4.2,"Misc"
"709",1996,95,5.8,"Comedy"
"710",1974,89,5.9,"Misc"
"711",2003,79,3.5,"Misc"
"712",1974,103,5.7,"Drama"
"713",1986,87,4.9,"Drama"
"714",1994,2,3.2,"Animation"
"715",1994,92,3.1,"Action"
"716",1975,95,4.4,"Drama"
"717",2002,96,6.2,"Comedy"
"718",1984,144,9.1,"Comedy"
"719",1957,80,3.9,"Misc"
"720",1972,91,4,"Action"
"721",1955,103,4.5,"Comedy"
"722",1991,89,5.9,"Comedy"
"723",1940,110,7.6,"Drama"
"724",1978,54,1.6,"Misc"
"725",2000,15,5,"Short"
"726",1986,100,7.9,"Comedy"
"727",2003,85,6.5,"Documentary"
"728",2005,82,7.8,"Documentary"
"729",1999,146,5,"Misc"
"730",1961,90,3,"Comedy"
"731",1926,66,8.4,"Animation"
"732",1965,158,8.3,"Drama"
"733",1973,83,3,"Misc"
"734",1997,113,3.2,"Misc"
"735",2000,106,7.3,"Drama"
"736",1997,93,4.8,"Misc"
"737",1978,97,4.6,"Comedy"
"738",2004,86,4.5,"Action"
"739",1993,55,6.7,"Comedy"
"740",1962,150,6.3,"Drama"
"741",1946,96,3.2,"Comedy"
"742",1999,104,4.9,"Drama"
"743",1946,89,6.4,"Misc"
"744",1984,105,4.4,"Misc"
"745",1993,87,5,"Misc"
"746",2003,109,6.6,"Drama"
"747",2001,97,3.6,"Action"
"748",2004,87,6.2,"Drama"
"749",2003,13,9.4,"Drama"
"750",1994,117,1.7,"Misc"
"751",1971,94,6.7,"Misc"
"752",1961,7,6.9,"Animation"
"753",1957,85,6,"Misc"
"754",1963,86,3.8,"Misc"
"755",1986,100,2.4,"Misc"
"756",1996,100,8.4,"Drama"
"757",2002,84,6.5,"Drama"
"758",2000,105,6.4,"Comedy"
"759",1952,94,5,"Comedy"
"760",1986,113,5.9,"Comedy"
"761",1954,104,6.5,"Drama"
"762",2002,125,7.3,"Comedy"
"763",2002,101,7.5,"Comedy"
"764",2001,9,7.6,"Short"
"765",1998,85,5,"Drama"
"766",1943,90,6.6,"Drama"
"767",1995,95,6.4,"Drama"
"768",2000,92,5.8,"Drama"
"769",1955,92,6.7,"Drama"
"770",1952,122,6.6,"Action"
"771",2001,91,4.3,"Drama"
"772",1999,9,6.5,"Comedy"
"773",1988,93,5.2,"Action"
"774",1994,96,5.8,"Drama"
"775",1993,78,6.8,"Misc"
"776",2001,81,6.3,"Animation"
"777",1930,97,5.6,"Drama"
"778",1990,95,9,"Drama"
"779",1991,90,3.3,"Action"
